line,tmin,tier,text,tmax
364,106.5277,TokensAlign,at,106.7077
365,106.7077,TokensAlign,random,107.1877
366,107.1877,TokensAlign,in,107.3177
367,107.3177,TokensAlign,the,107.3977
368,107.3977,TokensAlign,immensity,108.0177
369,108.0177,TokensAlign,of,108.0977
370,108.0977,TokensAlign,the,108.1977
371,108.1977,TokensAlign,desert,108.6563
373,109.4594,TokensAlign,but,109.6444
374,109.6444,TokensAlign,we,109.7744
375,109.7744,TokensAlign,started,110.2244
376,110.2244,TokensAlign,walking,110.5844
377,110.5844,TokensAlign,anyway,111.0392
379,112.4958,TokensAlign,when,112.6708
380,112.6708,TokensAlign,we,112.8008
381,112.8008,TokensAlign,had,112.9208
382,112.9208,TokensAlign,walked,113.2708
383,113.2708,TokensAlign,for,113.4908
384,113.4908,TokensAlign,hours,113.9908
385,113.9908,TokensAlign,in,114.1208
386,114.1208,TokensAlign,silence,114.9508
387,114.9508,TokensAlign,night,115.3208
388,115.3208,TokensAlign,fell,115.69
390,115.9194,TokensAlign,and,116.0744
391,116.0744,TokensAlign,the,116.1344
392,116.1344,TokensAlign,stars,116.6344
393,116.6344,TokensAlign,began,116.9544
394,116.9544,TokensAlign,to,117.0344
395,117.0344,TokensAlign,come,117.2844
396,117.2844,TokensAlign,out,117.6039
398,118.0578,TokensAlign,i,118.3828
399,118.3828,TokensAlign,saw,118.6828
400,118.6828,TokensAlign,them,118.8728
401,118.8728,TokensAlign,as,119.0128
402,119.0128,TokensAlign,if,119.1628
403,119.1628,TokensAlign,in,119.2528
404,119.2528,TokensAlign,a,119.3228
405,119.3228,TokensAlign,dream,119.8572
407,120.0667,TokensAlign,as,120.2317
408,120.2317,TokensAlign,my,120.4017
409,120.4017,TokensAlign,thirst,120.7717
410,120.7717,TokensAlign,had,120.8917
411,120.8917,TokensAlign,made,121.1517
412,121.1517,TokensAlign,me,121.2817
413,121.2817,TokensAlign,feverish,121.9461
415,122.869,TokensAlign,the,122.984
416,122.984,TokensAlign,little,123.244
417,123.244,TokensAlign,prince,123.624
418,123.624,TokensAlign,s,123.804
419,123.804,TokensAlign,words,124.314
420,124.314,TokensAlign,danced,124.734
421,124.734,TokensAlign,in,124.824
422,124.824,TokensAlign,my,124.954
423,124.954,TokensAlign,memory,125.4186
425,126.0321,TokensAlign,so,126.2671
426,126.2671,TokensAlign,you,126.4971
427,126.4971,TokensAlign,re,126.5971
428,126.5971,TokensAlign,also,126.9371
429,126.9371,TokensAlign,thirsty,127.5019
431,127.7562,TokensAlign,i,127.8712
432,127.8712,TokensAlign,asked,128.2212
433,128.2212,TokensAlign,him,128.4212
435,129.0596,TokensAlign,but,129.1746
436,129.1746,TokensAlign,he,129.2846
437,129.2846,TokensAlign,didn,129.4846
438,129.4846,TokensAlign,t,129.5346
439,129.5346,TokensAlign,reply,129.9146
440,129.9146,TokensAlign,to,130.0746
441,130.0746,TokensAlign,my,130.2046
442,130.2046,TokensAlign,question,130.7841
444,131.1383,TokensAlign,he,131.4933
445,131.4933,TokensAlign,said,131.8133
446,131.8133,TokensAlign,simply,132.3776
448,132.9861,TokensAlign,water,133.3011
449,133.3011,TokensAlign,can,133.5111
450,133.5111,TokensAlign,be,133.6211
451,133.6211,TokensAlign,good,133.8311
452,133.8311,TokensAlign,for,133.9911
453,133.9911,TokensAlign,the,134.0811
454,134.0811,TokensAlign,heart,134.4511
455,134.4511,TokensAlign,too,134.8604
457,135.8132,TokensAlign,i,135.9382
458,135.9382,TokensAlign,didn,136.2182
459,136.2182,TokensAlign,t,136.2682
460,136.2682,TokensAlign,understand,136.9182
461,136.9182,TokensAlign,his,137.0882
462,137.0882,TokensAlign,answer,137.5831
464,137.8175,TokensAlign,but,137.9425
465,137.9425,TokensAlign,i,138.0725
466,138.0725,TokensAlign,said,138.3425
467,138.3425,TokensAlign,nothing,138.8222
469,139.3459,TokensAlign,i,139.4509
470,139.4509,TokensAlign,knew,139.7309
471,139.7309,TokensAlign,better,140.0709
472,140.0709,TokensAlign,than,140.2109
473,140.2109,TokensAlign,to,140.2909
474,140.2909,TokensAlign,press,140.6109
475,140.6109,TokensAlign,my,140.7409
476,140.7409,TokensAlign,questions,141.4653
478,142.2834,TokensAlign,he,142.3584
479,142.3584,TokensAlign,was,142.5384
480,142.5384,TokensAlign,tired,142.9632
482,143.4121,TokensAlign,he,143.4971
483,143.4971,TokensAlign,sat,143.7871
484,143.7871,TokensAlign,down,144.142
486,144.8054,TokensAlign,i,144.9404
487,144.9404,TokensAlign,sat,145.2104
488,145.2104,TokensAlign,down,145.4304
489,145.4304,TokensAlign,beside,145.8204
490,145.8204,TokensAlign,him,146.0352
492,146.8882,TokensAlign,and,147.0432
493,147.0432,TokensAlign,after,147.4432
494,147.4432,TokensAlign,a,147.4832
495,147.4832,TokensAlign,silence,148.0432
496,148.0432,TokensAlign,he,148.1432
497,148.1432,TokensAlign,spoke,148.4932
498,148.4932,TokensAlign,again,148.9127
500,150.1798,TokensAlign,the,150.2548
501,150.2548,TokensAlign,stars,150.7848
502,150.7848,TokensAlign,are,150.8448
503,150.8448,TokensAlign,beautiful,151.4348
504,151.4348,TokensAlign,because,151.7848
505,151.7848,TokensAlign,of,151.8748
506,151.8748,TokensAlign,a,151.9548
507,151.9548,TokensAlign,flower,152.4248
508,152.4248,TokensAlign,that,152.5948
509,152.5948,TokensAlign,can,152.8648
