line	tmin	tier	text	tmax
373	120.219800	TokensAlign	tell	120.519800
374	120.519800	TokensAlign	them	120.744200
375	120.744200	TokensAlign	#	121.258000
376	121.258000	TokensAlign	i	121.443000
377	121.443000	TokensAlign	saw	121.673000
378	121.673000	TokensAlign	a	121.743000
379	121.743000	TokensAlign	hundred	122.273000
380	122.273000	TokensAlign	thousand	122.743000
381	122.743000	TokensAlign	franc	123.123000
382	123.123000	TokensAlign	house	123.657300
383	123.657300	TokensAlign	#	124.001400
384	124.001400	TokensAlign	and	124.216400
385	124.216400	TokensAlign	they	124.346400
386	124.346400	TokensAlign	d	124.416400
387	124.416400	TokensAlign	cry	124.791300
388	124.791300	TokensAlign	#	125.040700
389	125.040700	TokensAlign	how	125.365700
390	125.365700	TokensAlign	pretty	125.900200
391	125.900200	TokensAlign	#	126.798100
392	126.798100	TokensAlign	so	126.973100
393	126.973100	TokensAlign	if	127.113100
394	127.113100	TokensAlign	you	127.203100
395	127.203100	TokensAlign	were	127.303100
396	127.303100	TokensAlign	to	127.413100
397	127.413100	TokensAlign	say	127.693100
398	127.693100	TokensAlign	to	127.863100
399	127.863100	TokensAlign	them	128.133000
400	128.133000	TokensAlign	#	128.616800
401	128.616800	TokensAlign	the	128.681800
402	128.681800	TokensAlign	proof	129.091800
403	129.091800	TokensAlign	that	129.241800
404	129.241800	TokensAlign	the	129.321800
405	129.321800	TokensAlign	little	129.641800
406	129.641800	TokensAlign	prince	129.951800
407	129.951800	TokensAlign	existed	130.591000
408	130.591000	TokensAlign	#	130.895300
409	130.895300	TokensAlign	is	131.010300
410	131.010300	TokensAlign	that	131.130300
411	131.130300	TokensAlign	he	131.240300
412	131.240300	TokensAlign	was	131.470300
413	131.470300	TokensAlign	charming	132.000000
414	132.000000	TokensAlign	#	132.219400
415	132.219400	TokensAlign	he	132.384400
416	132.384400	TokensAlign	laughed	133.034400
417	133.034400	TokensAlign	and	133.144400
418	133.144400	TokensAlign	he	133.234400
419	133.234400	TokensAlign	wanted	133.564400
420	133.564400	TokensAlign	a	133.614400
421	133.614400	TokensAlign	sheep	133.958900
422	133.958900	TokensAlign	#	134.507600
423	134.507600	TokensAlign	if	134.652600
424	134.652600	TokensAlign	someone	135.102600
425	135.102600	TokensAlign	wants	135.472600
426	135.472600	TokensAlign	a	135.522600
427	135.522600	TokensAlign	sheep	136.032600
428	136.032600	TokensAlign	that	136.222600
429	136.222600	TokensAlign	proves	136.722600
430	136.722600	TokensAlign	they	136.882600
431	136.882600	TokensAlign	exist	137.441400
432	137.441400	TokensAlign	#	137.910200
433	137.910200	TokensAlign	they	138.085200
434	138.085200	TokensAlign	d	138.195200
435	138.195200	TokensAlign	shrug	138.545200
436	138.545200	TokensAlign	their	138.735200
437	138.735200	TokensAlign	shoulders	139.335200
438	139.335200	TokensAlign	and	139.475200
439	139.475200	TokensAlign	treat	139.755200
440	139.755200	TokensAlign	you	139.925200
441	139.925200	TokensAlign	like	140.095200
442	140.095200	TokensAlign	a	140.135200
443	140.135200	TokensAlign	child	140.699400
444	140.699400	TokensAlign	#	141.288100
445	141.288100	TokensAlign	but	141.423100
446	141.423100	TokensAlign	if	141.563100
447	141.563100	TokensAlign	you	141.703100
448	141.703100	TokensAlign	were	141.813100
449	141.813100	TokensAlign	to	141.923100
450	141.923100	TokensAlign	say	142.482900
451	142.482900	TokensAlign	#	142.717300
452	142.717300	TokensAlign	the	142.782300
453	142.782300	TokensAlign	planet	143.242300
454	143.242300	TokensAlign	he	143.372300
455	143.372300	TokensAlign	came	143.722300
456	143.722300	TokensAlign	from	144.012300
457	144.012300	TokensAlign	is	144.162300
458	144.162300	TokensAlign	the	144.262300
459	144.262300	TokensAlign	asteroid	144.972300
460	144.972300	TokensAlign	b	145.182300
461	145.182300	TokensAlign	six_hundred_twelve	146.201300
462	146.201300	TokensAlign	#	146.505600
463	146.505600	TokensAlign	they	146.600600
464	146.600600	TokensAlign	d	146.650600
465	146.650600	TokensAlign	be	146.780600
466	146.780600	TokensAlign	convinced	147.420400
467	147.420400	TokensAlign	#	147.699700
468	147.699700	TokensAlign	and	147.874700
469	147.874700	TokensAlign	leave	148.124700
470	148.124700	TokensAlign	you	148.224700
471	148.224700	TokensAlign	in	148.364700
472	148.364700	TokensAlign	peace	148.864700
473	148.864700	TokensAlign	and	149.034700
474	149.034700	TokensAlign	spare	149.364700
475	149.364700	TokensAlign	you	149.544700
476	149.544700	TokensAlign	their	149.744700
477	149.744700	TokensAlign	questions	150.489000
478	150.489000	TokensAlign	#	150.912900
479	150.912900	TokensAlign	they	151.017900
480	151.017900	TokensAlign	re	151.107900
481	151.107900	TokensAlign	like	151.357900
482	151.357900	TokensAlign	that	151.667400
483	151.667400	TokensAlign	#	151.861900
484	151.861900	TokensAlign	don	152.026900
485	152.026900	TokensAlign	t	152.076900
486	152.076900	TokensAlign	blame	152.306900
487	152.306900	TokensAlign	them	152.576800
488	152.576800	TokensAlign	#	153.125400
489	153.125400	TokensAlign	children	153.560400
490	153.560400	TokensAlign	should	153.740400
491	153.740400	TokensAlign	be	153.870400
492	153.870400	TokensAlign	forgiving	154.390400
493	154.390400	TokensAlign	towards	154.750400
494	154.750400	TokensAlign	the	154.810400
495	154.810400	TokensAlign	grownups	155.409100
496	155.409100	TokensAlign	#	156.002700
497	156.002700	TokensAlign	but	156.437700
498	156.437700	TokensAlign	of	156.527700
499	156.527700	TokensAlign	course	156.987700
500	156.987700	TokensAlign	those	157.457700
501	157.457700	TokensAlign	of	157.547700
502	157.547700	TokensAlign	us	157.727700
503	157.727700	TokensAlign	who	157.827700
504	157.827700	TokensAlign	understand	158.577700
505	158.577700	TokensAlign	life	158.941800
506	158.941800	TokensAlign	#	159.345800
507	159.345800	TokensAlign	we	159.460800
508	159.460800	TokensAlign	don	159.640800
509	159.640800	TokensAlign	t	159.670800
510	159.670800	TokensAlign	much	159.890800
511	159.890800	TokensAlign	care	160.160800
512	160.160800	TokensAlign	for	160.290800
513	160.290800	TokensAlign	numbers	160.860500
514	160.860500	TokensAlign	#	161.548900
515	161.548900	TokensAlign	i	161.653900
516	161.653900	TokensAlign	d	161.773900
517	161.773900	TokensAlign	have	161.873900
518	161.873900	TokensAlign	liked	162.053900
519	162.053900	TokensAlign	to	162.153900
520	162.153900	TokensAlign	begin	162.493900
521	162.493900	TokensAlign	this	162.663900
522	162.663900	TokensAlign	story	163.113900
523	163.113900	TokensAlign	in	163.253900
524	163.253900	TokensAlign	the	163.313900
525	163.313900	TokensAlign	same	163.703900
526	163.703900	TokensAlign	way	163.833900
527	163.833900	TokensAlign	as	163.963900
528	163.963900	TokensAlign	a	163.993900
529	163.993900	TokensAlign	fairy	164.423900
530	164.423900	TokensAlign	tale	164.748400
531	164.748400	TokensAlign	#	165.257200
532	165.257200	TokensAlign	i	165.352200
533	165.352200	TokensAlign	d	165.382200
534	165.382200	TokensAlign	have	165.492200
535	165.492200	TokensAlign	liked	165.762200
536	165.762200	TokensAlign	to	165.852200
537	165.852200	TokensAlign	say	166.287100
538	166.287100	TokensAlign	#	166.591300
539	166.591300	TokensAlign	once	166.956300
540	166.956300	TokensAlign	upon	167.166300
541	167.166300	TokensAlign	a	167.206300
542	167.206300	TokensAlign	time	167.726300
543	167.726300	TokensAlign	there	167.906300
