��line,tmin,tier,text,tmax
549,174.4778,TokensAlign,owns,174.8178
550,174.8178,TokensAlign,them,175.0177
552,175.3269,TokensAlign,the,175.3919
553,175.3919,TokensAlign,businessman,175.9219
554,175.9219,TokensAlign,retorted,176.5219
555,176.5219,TokensAlign,grumpily,177.0264
557,177.6349,TokensAlign,i,177.7599
558,177.7599,TokensAlign,don,178.0199
559,178.0199,TokensAlign,t,178.1399
560,178.1399,TokensAlign,know,178.3049
562,178.5443,TokensAlign,nobody,178.8793
563,178.8793,TokensAlign,does,179.3141
565,179.8777,TokensAlign,then,180.0227
566,180.0227,TokensAlign,they,180.1327
567,180.1327,TokensAlign,belong,180.4627
568,180.4627,TokensAlign,to,180.5827
569,180.5827,TokensAlign,me,180.7727
570,180.7727,TokensAlign,because,181.0327
571,181.0327,TokensAlign,i,181.2027
572,181.2027,TokensAlign,thought,181.4727
573,181.4727,TokensAlign,of,181.5327
574,181.5327,TokensAlign,it,181.6827
575,181.6827,TokensAlign,first,182.1225
577,183.1501,TokensAlign,is,183.2951
578,183.2951,TokensAlign,that,183.5351
579,183.5351,TokensAlign,all,183.6951
580,183.6951,TokensAlign,that,183.8651
581,183.8651,TokensAlign,s,183.9251
582,183.9251,TokensAlign,necessary,184.5499
584,185.1684,TokensAlign,certainly,185.6834
586,186.2421,TokensAlign,when,186.3771
587,186.3771,TokensAlign,you,186.4971
588,186.4971,TokensAlign,find,186.8171
589,186.8171,TokensAlign,a,186.8471
590,186.8471,TokensAlign,diamond,187.3571
591,187.3571,TokensAlign,that,187.4571
592,187.4571,TokensAlign,belongs,187.9171
593,187.9171,TokensAlign,to,187.9871
594,187.9871,TokensAlign,nobody,188.3771
595,188.3771,TokensAlign,it,188.5171
596,188.5171,TokensAlign,s,188.5571
597,188.5571,TokensAlign,yours,189.0119
599,189.5306,TokensAlign,when,189.6256
600,189.6256,TokensAlign,you,189.7256
601,189.7256,TokensAlign,discover,190.1356
602,190.1356,TokensAlign,an,190.1956
603,190.1956,TokensAlign,island,190.6956
604,190.6956,TokensAlign,that,190.8056
605,190.8056,TokensAlign,belongs,191.2356
606,191.2356,TokensAlign,to,191.3556
607,191.3556,TokensAlign,nobody,191.6656
608,191.6656,TokensAlign,it,191.7756
609,191.7756,TokensAlign,s,191.8056
610,191.8056,TokensAlign,yours,192.2502
612,193.0284,TokensAlign,when,193.1534
613,193.1534,TokensAlign,you,193.2834
614,193.2834,TokensAlign,get,193.4534
615,193.4534,TokensAlign,an,193.5134
616,193.5134,TokensAlign,idea,193.9634
617,193.9634,TokensAlign,first,194.3234
618,194.3234,TokensAlign,you,194.3934
619,194.3934,TokensAlign,take,194.6334
620,194.6334,TokensAlign,out,194.7734
621,194.7734,TokensAlign,a,194.8334
622,194.8334,TokensAlign,patent,195.0832
624,195.5672,TokensAlign,it,195.7122
625,195.7122,TokensAlign,s,195.7422
626,195.7422,TokensAlign,yours,196.2021
628,196.6061,TokensAlign,and,196.9211
629,196.9211,TokensAlign,i,197.1811
630,197.1811,TokensAlign,own,197.4311
631,197.4311,TokensAlign,the,197.5111
632,197.5111,TokensAlign,stars,198.0859
634,198.3203,TokensAlign,because,198.5853
635,198.5853,TokensAlign,no,198.7953
636,198.7953,TokensAlign,one,198.9353
637,198.9353,TokensAlign,before,199.2553
638,199.2553,TokensAlign,me,199.4053
639,199.4053,TokensAlign,ever,199.5753
640,199.5753,TokensAlign,thought,199.8253
641,199.8253,TokensAlign,of,199.9253
642,199.9253,TokensAlign,owning,200.1753
643,200.1753,TokensAlign,them,200.3401
645,201.2031,TokensAlign,yes,201.4581
646,201.4581,TokensAlign,that,201.6681
647,201.6681,TokensAlign,s,201.7981
648,201.7981,TokensAlign,TRUE,202.1227
650,202.3222,TokensAlign,said,202.4972
651,202.4972,TokensAlign,the,202.5772
652,202.5772,TokensAlign,little,202.8072
653,202.8072,TokensAlign,prince,203.277
655,204.0252,TokensAlign,and,204.1902
656,204.1902,TokensAlign,what,204.3202
657,204.3202,TokensAlign,do,204.4302
658,204.4302,TokensAlign,you,204.4902
659,204.4902,TokensAlign,do,204.6502
660,204.6502,TokensAlign,with,204.8802
661,204.8802,TokensAlign,them,205.0999
663,205.9729,TokensAlign,i,206.1079
664,206.1079,TokensAlign,administer,206.5779
665,206.5779,TokensAlign,them,206.7928
667,207.2018,TokensAlign,i,207.3268
668,207.3268,TokensAlign,count,207.6868
669,207.6868,TokensAlign,them,207.8868
670,207.8868,TokensAlign,and,208.1268
671,208.1268,TokensAlign,recount,208.5768
672,208.5768,TokensAlign,them,208.7968
674,208.8868,TokensAlign,said,209.1168
675,209.1168,TokensAlign,the,209.1968
676,209.1968,TokensAlign,businessman,209.8105
678,210.3093,TokensAlign,it,210.4243
679,210.4243,TokensAlign,s,210.5143
680,210.5143,TokensAlign,difficult,211.0839
682,211.3333,TokensAlign,but,211.4983
683,211.4983,TokensAlign,i,211.5583
684,211.5583,TokensAlign,am,211.6483
685,211.6483,TokensAlign,a,211.7083
686,211.7083,TokensAlign,man,211.8983
687,211.8983,TokensAlign,of,211.9883
688,211.9883,TokensAlign,consequence,212.6529
690,213.8801,TokensAlign,the,213.9451
691,213.9451,TokensAlign,little,214.2151
692,214.2151,TokensAlign,prince,214.7151
693,214.7151,TokensAlign,was,214.8151
694,214.8151,TokensAlign,still,215.1351
695,215.1351,TokensAlign,not,215.3651
696,215.3651,TokensAlign,satisfied,216.0746
698,217.4863,TokensAlign,if,217.6413
699,217.6413,TokensAlign,i,217.7713
700,217.7713,TokensAlign,owned,218.0813
701,218.0813,TokensAlign,a,218.1213
702,218.1213,TokensAlign,scarf,218.8561
704,219.1004,TokensAlign,i,219.1754
705,219.1754,TokensAlign,could,219.3654
706,219.3654,TokensAlign,put,219.5454
707,219.5454,TokensAlign,it,219.6854
708,219.6854,TokensAlign,around,220.0754
709,220.0754,TokensAlign,my,220.2554
710,220.2554,TokensAlign,neck,220.9154
711,220.9154,TokensAlign,and,221.0154
712,221.0154,TokensAlign,take,221.2354
713,221.2354,TokensAlign,it,221.3354
714,221.3354,TokensAlign,away,221.5954
715,221.5954,TokensAlign,with,221.8054
716,221.8054,TokensAlign,me,222.0243
718,222.7177,TokensAlign,if,222.8327
719,222.8327,TokensAlign,i,222.9827
720,222.9827,TokensAlign,owned,223.1527
721,223.1527,TokensAlign,a,223.1827
722,223.1827,TokensAlign,flower,223.6527
723,223.6527,TokensAlign,i,223.7727
724,223.7727,TokensAlign,could,224.4027
725,224.4027,TokensAlign,pick,224.6827
726,224.6827,TokensAlign,my,224.8627
727,224.8627,TokensAlign,flower,225.2827
728,225.2827,TokensAlign,and,225.4227
729,225.4227,TokensAlign,take,225.6127
730,225.6127,TokensAlign,it,225.7327
731,225.7327,TokensAlign,away,225.9527
732,225.9527,TokensAlign,with,226.1227
733,226.1227,TokensAlign,me,226.3665
735,226.7556,TokensAlign,but,226.8506
736,226.8506,TokensAlign,you,226.9406
737,226.9406,TokensAlign,can,227.2006
738,227.2006,TokensAlign,t,227.2306
739,227.2306,TokensAlign,pick,227.4506
740,227.4506,TokensAlign,the,227.5406
741,227.5406,TokensAlign,stars,228.2649
743,229.0381,TokensAlign,no,229.4581
745,229.6526,TokensAlign,but,229.7876
746,229.7876,TokensAlign,i,229.8876
